,val_score,abs_score,over_score,under_score,non_parity_score,,test
val_score,0.14136558771133423,0.1434362232685089,0.139823779463768,0.1394469141960144,0.14224563539028168,0.1392114758491516,U
abs_score,0.14136558771133423,0.09079649299383163,0.139823779463768,0.1394469141960144,0.14224563539028168,0.1392114758491516,U
over_score,0.0,0.11000120053688685,0.0,0.0,0.0,0.0,U
under_score,0.14136559506257376,0.03343503286441167,0.13982377643386523,0.13944691528876624,0.14224564005931217,0.13921148369709652,U
non_parity_score,2.314150333404541e-05,2.1457672119140625e-05,5.424022674560547e-06,9.5367431640625e-06,6.21899962425232e-05,9.256601333618164e-05,U
rmse,0.6505037546157837,0.4109921157360077,0.5569108128547668,0.4436788856983185,0.701947033405304,0.5038767457008362,U
val_score,0.07106878608465195,0.06896310299634933,0.06875964999198914,0.06870328634977341,0.06957438588142395,0.07203812152147293,O
abs_score,0.07106878608465195,0.06896310299634933,0.039185091853141785,0.06870328634977341,0.06957438588142395,0.07203812152147293,O
over_score,0.0,0.0,0.022531491219997406,0.0,0.0,0.0720381208260854,O
under_score,0.0710687937339147,0.068963097234567,0.04622815916935603,0.06870328644911448,0.06957439025243123,0.0,O
non_parity_score,0.00017262250185012817,2.6881694793701172e-05,3.933906555175781e-06,3.7729740142822266e-05,4.240870475769043e-05,0.00024253129959106445,O
rmse,0.611998438835144,0.3957059979438782,0.37517619132995605,0.4152355194091797,0.3971385061740875,0.5648168325424194,O
val_score,0.166640505194664,0.16448883712291718,0.16879262030124664,0.1663007140159607,0.16705858707427979,0.16607560217380524,P
abs_score,0.166640505194664,0.16448883712291718,0.12856245040893555,0.1645747721195221,0.16560471057891846,0.11471669375896454,P
over_score,0.0,0.1644888432820638,0.02040558139483134,0.0008629671732584635,0.16633164376020432,0.02580675075451533,P
under_score,0.16664049903551736,0.0,0.1483870436747869,0.16543774873018266,0.0007269404331843058,0.140268850227197,P
non_parity_score,9.894371032714844e-06,0.0007460117340087891,3.9458274841308594e-05,0.00010377168655395508,6.079673767089844e-06,7.331371307373047e-06,P
rmse,0.4743850529193878,0.5608710646629333,0.4072035551071167,0.48019304871559143,0.43838417530059814,0.4052520990371704,P
val_score,0.05908343568444252,0.05751641467213631,0.05798884108662605,0.05388572812080383,0.05984096601605415,0.0579276904463768,OP
abs_score,0.05908343568444252,0.05751641467213631,0.05798884108662605,0.05388572812080383,0.05984096601605415,0.0579276904463768,OP
over_score,0.0,0.0,0.0,0.0,0.0,0.0,OP
under_score,0.05908344189325968,0.05751641929149628,0.057988843619823455,0.05388572812080383,0.05984096686045329,0.057927693724632266,OP
non_parity_score,8.963048458099365e-06,4.7266483306884766e-05,1.6480684280395508e-05,1.4126300811767578e-05,0.0001242905855178833,0.00010160356760025024,OP
rmse,0.7464434504508972,0.7548010349273682,0.6123350262641907,0.5185871124267578,0.6665009260177612,0.6207970380783081,OP
