,val_score,abs_score,over_score,under_score,non_parity_score,,test
val_score,0.13981838524341583,0.14205680787563324,0.1401481330394745,0.13737556338310242,0.14103253185749054,0.13763873279094696,U
abs_score,0.13981838524341583,0.14205680787563324,0.1365869641304016,0.11172071844339371,0.13398335874080658,0.1312837451696396,U
over_score,0.0,0.0,0.001780593693256378,0.013046625057856242,0.003524589538574219,0.0032155035932858785,U
under_score,0.13981838405132294,0.1420567994316419,0.13836754630009332,0.12432894806067149,0.13750795076290767,0.13442323098580042,U
non_parity_score,0.0007772147655487061,0.0003940165042877197,4.887580871582031e-06,0.0007409453392028809,0.0009871125221252441,0.00012320280075073242,U
rmse,0.4485245645046234,0.44844794273376465,0.4210532605648041,0.4110218584537506,0.4242808222770691,0.4238448441028595,U
val_score,0.0721878930926323,0.07273755222558975,0.06931725889444351,0.06970672309398651,0.0701279565691948,0.07063203305006027,O
abs_score,0.06771065294742584,0.07273755222558975,0.06931725889444351,0.06970537453889847,0.06870503723621368,0.06830979883670807,O
over_score,0.002250466843446096,0.0,0.0,6.715456644694011e-07,0.0007114590207735697,0.0011611199378967286,O
under_score,0.06993742565313975,0.07273755172888438,0.06931725670893987,0.06970605204502742,0.06941649854183198,0.06947091440359751,O
non_parity_score,0.0001226365566253662,0.00012159347534179688,2.205371856689453e-05,7.599592208862305e-06,5.456805229187012e-05,7.730722427368164e-05,O
rmse,0.3828078806400299,0.4346287250518799,0.4032633602619171,0.3954471945762634,0.38780030608177185,0.38610708713531494,O
val_score,0.16569170355796814,0.1668851524591446,0.16356827318668365,0.1655874103307724,0.16470544040203094,0.16676625609397888,P
abs_score,0.16550536453723907,0.16348719596862793,0.14162759482860565,0.14478792250156403,0.07647489011287689,0.15704403817653656,P
over_score,9.317795435587565e-05,0.0016989767551422118,0.010970342755317688,0.010399751265843709,0.11468084633350373,0.005009448726971944,P
under_score,0.16559852734208108,0.1651861728231112,0.15259793907403946,0.15518766919771831,0.050024595657984415,0.16175681377450626,P
non_parity_score,3.3855438232421875e-05,5.218386650085449e-05,1.0669231414794922e-05,7.450580596923828e-07,0.0003463625907897949,3.0487775802612305e-05,P
rmse,0.45004552602767944,0.42133453488349915,0.4110455811023712,0.41237810254096985,0.4023020565509796,0.42242324352264404,P
val_score,0.05908321216702461,0.05383733659982681,0.05746989697217941,0.05804762616753578,0.054419390857219696,0.05680759996175766,OP
abs_score,0.05908321216702461,0.05383733659982681,0.05746989697217941,0.05337677523493767,0.05249921977519989,0.05568801984190941,OP
over_score,0.0,0.0,0.0,0.002913073897361755,0.0009600889682769776,0.0005597917238871256,OP
under_score,0.05908321430285772,0.053837338984012606,0.057469895283381145,0.05513455053170522,0.053459303677082064,0.0562478103240331,OP
non_parity_score,1.4990568161010742e-05,0.00028011202812194824,0.0004374384880065918,0.00025707483291625977,0.00047141313552856445,0.000327378511428833,OP
rmse,0.402648389339447,0.43717312812805176,0.4103817045688629,0.3802051544189453,0.3806685507297516,0.3890703320503235,OP
