,val_score,abs_score,over_score,under_score,non_parity_score,,test
val_score,0.13760016858577728,0.13617363572120667,0.13730089366436005,0.1390138566493988,0.1411755084991455,0.13706524670124054,U
abs_score,0.13640551269054413,0.13560058176517487,0.09858404844999313,0.13880640268325806,0.12222999334335327,0.13083335757255554,U
over_score,0.0005973382790883383,0.0002865212162335714,0.01937258998552958,0.0001037299633026123,0.0096379554271698,0.004166253805160522,U
under_score,0.13700284987688063,0.13588710556427638,0.11792832165956497,0.13891013726592064,0.13153755237658818,0.13289899557828902,U
non_parity_score,3.8743019104003906e-07,0.00023314356803894043,0.0002397000789642334,0.0004509091377258301,0.0005172491073608398,0.000742793083190918,U
rmse,0.4209790825843811,0.42944347858428955,0.4061847925186157,0.44840720295906067,0.4118502140045166,0.4251740276813507,U
val_score,0.06841952353715897,0.07011424005031586,0.07288214564323425,0.06891383230686188,0.0675126239657402,0.0697917491197586,O
abs_score,0.06841952353715897,0.07011424005031586,0.07288214564323425,0.06891383230686188,0.06684103608131409,0.06849580258131027,O
over_score,0.0,0.0,0.0,0.0,0.0004132793347040812,0.0012717669208844502,O
under_score,0.06841951628526052,0.07011423905690511,0.07288214127222697,0.06891383563478788,0.0670993505915006,0.06851998100678126,O
non_parity_score,4.76837158203125e-05,0.0001723170280456543,5.155801773071289e-05,4.51207160949707e-05,0.00043267011642456055,0.00011906027793884277,O
rmse,0.41366156935691833,0.41736331582069397,0.4226745665073395,0.4326183795928955,0.3944427967071533,0.40256741642951965,O
val_score,0.16430269181728363,0.1625119149684906,0.16626890003681183,0.16612239181995392,0.16273120045661926,0.1653856486082077,P
abs_score,0.1427401751279831,0.14409352838993073,0.16448579728603363,0.16612239181995392,0.0995977520942688,0.15877163410186768,P
over_score,0.010781255960464477,0.009210523168245952,0.0008915495872497558,0.0,0.031679488718509674,0.0034173258145650228,P
under_score,0.15352143292625745,0.15330139845609664,0.16537735253572464,0.16612238829334577,0.13105171144008637,0.16196832050879797,P
non_parity_score,1.4036893844604492e-05,0.00013977289199829102,3.6656856536865234e-06,2.5570392608642578e-05,0.00030475854873657227,0.0001659393310546875,P
rmse,0.4124033451080322,0.4099058210849762,0.4207335412502289,0.44613948464393616,0.4038415849208832,0.42608973383903503,P
val_score,0.057324957102537155,0.060011349618434906,0.05856766924262047,0.05508799850940704,0.05693710222840309,0.05968926101922989,OP
abs_score,0.057119764387607574,0.060011349618434906,0.05856766924262047,0.05499691143631935,0.04020126163959503,0.04988681152462959,OP
over_score,0.000102596382300059,0.0,0.0,4.554182291030884e-05,0.03747291763623555,0.05178279976050059,OP
under_score,0.057222354213396706,0.060011349618434906,0.05856767336527507,0.05504245609045029,0.019464188516139985,0.007906462649504344,OP
non_parity_score,9.119510650634766e-05,0.00022661685943603516,7.221102714538574e-05,9.438395500183105e-05,0.0007584095001220703,0.0007348060607910156,OP
rmse,0.3974968194961548,0.4303748309612274,0.4079557955265045,0.4062788188457489,0.3768197298049927,0.38036540150642395,OP
