,val_score,abs_score,over_score,under_score,non_parity_score,,test
val_score,0.14237463474273682,0.1393885314464569,0.13668625056743622,0.13941584527492523,0.1394989937543869,0.14011725783348083,U
abs_score,0.14237463474273682,0.13886983692646027,0.13662013411521912,0.11311182379722595,0.12649831175804138,0.1378110647201538,U
over_score,0.0,0.13912917921940485,3.305524587631226e-05,0.013152016202608745,0.1329986435174942,0.0011531060934066772,U
under_score,0.14237463861703872,0.00025935014088948567,0.13665319114923477,0.1262638336420059,0.006500342488288879,0.1389641629656156,U
non_parity_score,5.1324255764484406e-05,0.0008562803268432617,6.404519081115723e-05,9.277462959289551e-05,1.3768672943115234e-05,5.412101745605469e-05,U
rmse,0.6617810130119324,0.6725164651870728,0.4325803220272064,0.4071680009365082,0.41688960790634155,0.4202177822589874,U
val_score,0.06803745776414871,0.06624290347099304,0.0689561665058136,0.06862731277942657,0.0700925961136818,0.06956219673156738,O
abs_score,0.06803745776414871,0.06624290347099304,0.0689561665058136,0.06862731277942657,0.0700925961136818,0.06956219673156738,O
over_score,0.0,0.0,0.0689561653137207,0.0,0.0,0.0,O
under_score,0.06803746074438095,0.06624290327231089,0.0,0.06862731138865152,0.07009260267019272,0.06956219583749772,O
non_parity_score,0.00016605854034423828,6.502866744995117e-05,9.208917617797852e-05,3.454089164733887e-05,9.295344352722168e-05,0.00018114596605300903,O
rmse,0.4569685757160187,0.4550192058086395,0.49512699246406555,0.3999686539173126,0.43386220932006836,0.636813759803772,O
val_score,0.16736428439617157,0.16572098433971405,0.1651068925857544,0.16542497277259827,0.16685043275356293,0.16554920375347137,P
abs_score,0.16736428439617157,0.09871667623519897,0.16493558883666992,0.16542497277259827,0.16685043275356293,0.1652078628540039,P
over_score,0.0,0.0466501322388649,8.564651012420655e-05,0.0,0.16685044199228286,0.16537853091955185,P
under_score,0.16736428827047348,0.11907085061073303,0.16502123321096102,0.16542496681213378,0.0,0.00017066816488901774,P
non_parity_score,4.328787326812744e-05,4.267692565917969e-05,0.00010895729064941406,5.774199962615967e-05,7.456541061401367e-05,4.231929779052734e-06,P
rmse,0.49098509550094604,0.4069722592830658,0.47338828444480896,0.507449746131897,0.5391472578048706,0.4979464113712311,P
val_score,0.05486777052283287,0.05759193375706673,0.0577169805765152,0.05842044949531555,0.05734793469309807,0.05643179640173912,OP
abs_score,0.047228164970874786,0.05611487850546837,0.0577169805765152,0.05842044949531555,0.048787690699100494,0.05643179640173912,OP
over_score,0.04375610023736954,0.05620110183954239,0.0,0.0,0.04317804843187332,0.0,OP
under_score,0.011111673017342885,0.0013908318678538005,0.05771697610616684,0.058420446266730625,0.014169880350430807,0.05643179694811503,OP
non_parity_score,0.0003159642219543457,0.0005322098731994629,1.2610107660293579e-05,0.0003590434789657593,0.00035190582275390625,0.00030628498643636703,OP
rmse,0.3847404420375824,0.4847717583179474,0.7202420830726624,0.5102643370628357,0.38504549860954285,0.6775497794151306,OP
