,model,early_stop,unfairness_reg,lr,val_score,abs_score,over_score,under_score,non_parity_score,,test
val_score,nmf,9.566524255388433e-06,0.5296126629792068,0.1377126588822707,0.13896280527114868,0.1359684318304062,0.1373094767332077,0.13910724222660065,0.13704369962215424,0.13722236454486847,U
abs_score,nmf,9.566524255388433e-06,0.5296126629792068,0.1377126588822707,0.13896280527114868,0.1359684318304062,0.1373094767332077,0.13910724222660065,0.13153791427612305,0.13722236454486847,U
over_score,nmf,9.566524255388433e-06,0.5296126629792068,0.1377126588822707,0.0,0.0,0.0,0.0,0.0035883825023969016,0.0,U
under_score,nmf,9.566524255388433e-06,0.5296126629792068,0.1377126588822707,0.13896281828482945,0.13596842398246128,0.1373094857732455,0.13910724172989528,0.13345530514915785,0.13722235441207886,U
non_parity_score,nmf,9.566524255388433e-06,0.5296126629792068,0.1377126588822707,2.5480985641479492e-06,7.12275505065918e-06,4.3798238039016724e-05,7.858732715249062e-05,0.0003259927034378052,0.0006272792816162109,U
rmse,nmf,9.566524255388433e-06,0.5296126629792068,0.1377126588822707,0.7444955110549927,0.7464765310287476,0.6240388751029968,0.6640254259109497,0.5097072720527649,2.0302820205688477,U
val_score,nmf,6.931010952000278e-06,0.5733757994280702,0.25278154642036343,0.06564861536026001,0.06383612006902695,0.06411757320165634,0.06498194485902786,0.0669000893831253,0.06596118956804276,O
abs_score,nmf,6.931010952000278e-06,0.5733757994280702,0.25278154642036343,0.06390196084976196,0.06257661432027817,0.06281133741140366,0.06498194485902786,0.06641431152820587,0.0650499165058136,O
over_score,nmf,6.931010952000278e-06,0.5733757994280702,0.25278154642036343,0.030331905980904898,0.025335858166217803,0.04076206346352895,0.0,0.036669140855471294,0.046318209668000536,O
under_score,nmf,6.931010952000278e-06,0.5733757994280702,0.25278154642036343,0.03531670778989792,0.03850026026368141,0.023355512022972105,0.06498194058736165,0.03023094673951467,0.019642978807290396,O
non_parity_score,nmf,6.931010952000278e-06,0.5733757994280702,0.25278154642036343,6.681680679321289e-05,8.553266525268555e-06,9.363889694213867e-05,4.112720489501953e-06,0.000413358211517334,0.0002669095993041992,O
rmse,nmf,6.931010952000278e-06,0.5733757994280702,0.25278154642036343,0.700883686542511,0.8259938955307007,0.5886549353599548,1.0258864164352417,0.8111203908920288,0.7100701332092285,O
val_score,gmf,8.714825286190801e-06,0.5031679313349313,0.12458268470608708,0.16640017926692963,0.16430653631687164,0.1644647717475891,0.16509538888931274,0.16427698731422424,0.16611897945404053,P
abs_score,gmf,8.714825286190801e-06,0.5031679313349313,0.12458268470608708,0.11312638968229294,0.10751227289438248,0.1324239820241928,0.15133824944496155,0.08244801312685013,0.04834160953760147,P
over_score,gmf,8.714825286190801e-06,0.5031679313349313,0.12458268470608708,0.029635789295037587,0.03045521100362142,0.016020398139953613,0.006878577371438344,0.1197649719317754,0.07750588575998942,P
under_score,gmf,8.714825286190801e-06,0.5031679313349313,0.12458268470608708,0.13676439632972082,0.1338513187567393,0.14844437837600707,0.15821682780981064,0.04451201279958089,0.08861310591300328,P
non_parity_score,gmf,8.714825286190801e-06,0.5031679313349313,0.12458268470608708,0.0002842843532562256,0.00026297569274902344,9.700655937194824e-05,0.000141829252243042,0.000519871711730957,0.00012254714965820312,P
rmse,gmf,8.714825286190801e-06,0.5031679313349313,0.12458268470608708,0.4082948863506317,0.4041413366794586,0.40644240379333496,0.41100290417671204,0.4038892388343811,0.39898261427879333,P
val_score,nmf,5.670778493826778e-06,0.5725505735504738,0.044154558217870954,0.05811959505081177,0.05729087069630623,0.05761663615703583,0.0568365715444088,0.060032185167074203,0.058958377689123154,OP
abs_score,nmf,5.670778493826778e-06,0.5725505735504738,0.044154558217870954,0.05811959505081177,0.05729087069630623,0.05684401094913483,0.0568365715444088,0.05070943012833595,0.058958377689123154,OP
over_score,nmf,5.670778493826778e-06,0.5725505735504738,0.044154558217870954,0.0,0.0,0.0003863133986790975,0.0,0.05284356564283371,0.0,OP
under_score,nmf,5.670778493826778e-06,0.5725505735504738,0.044154558217870954,0.0581195933620135,0.057290870249271396,0.057230321963628136,0.056836570103963216,0.0071886146068573,0.05895837634801865,OP
non_parity_score,nmf,5.670778493826778e-06,0.5725505735504738,0.044154558217870954,1.4126300811767578e-05,7.656216621398926e-05,3.4481287002563477e-05,2.6792287826538086e-05,1.5437602996826172e-05,1.2993812561035156e-05,OP
rmse,nmf,5.670778493826778e-06,0.5725505735504738,0.044154558217870954,0.39776909351348877,0.3998908996582031,0.38219502568244934,0.4275399148464203,0.3818286061286926,0.3947264850139618,OP
val_score,gmf,3.5251175949523386e-06,0.32941065437037986,0.2608751706336858,0.13499975204467773,0.13774839043617249,0.13683319091796875,0.13663677871227264,0.1340789943933487,0.13807544112205505,U
abs_score,gmf,3.5251175949523386e-06,0.32941065437037986,0.2608751706336858,0.12799003720283508,0.1289592981338501,0.13661901652812958,0.1365363597869873,0.13326022028923035,0.08836569637060165,U
